FID,OBJECTID,SHAPE,UNIQUEID,BEZEICHNUNG,ADRESSE,PLZ,WEBLINK1,RECHTSWERT_WGS84,HOCHWERT_WGS84,ICON,STATUS,BETREIBER,VERFUEGBARKEIT,VERFUEGBARKEIT_TXT
RADSERVICEOGD.171638,171638,POINT (16.449836785704868 48.220487257419634),RS84,Radservicestation,Kaisermühlenstraße 26,1220,https://www.wienerlinien.at/wienmobil/stationen,16.44983678,48.22048719,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171639,171639,POINT (16.42375727823635 48.22598863557476),RS86,Radservicestation,Schüttauplatz,1220,https://www.wienerlinien.at/wienmobil/stationen,16.42375727,48.22598857,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171640,171640,POINT (16.484210897318405 48.24047117263951),RS87,Radservicestation,Pirquetgasse 10,1220,https://www.wienerlinien.at/wienmobil/stationen,16.48421089,48.24047111,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171641,171641,POINT (16.31720873773055 48.15016673348546),RS88,Radservicestation,Erlaaer Schleife,1230,https://www.wienerlinien.at/wienmobil/stationen,16.31720873,48.15016667,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171642,171642,POINT (16.283229122936167 48.13442051839056),RS89,Radservicestation,Franz-Parsche-Gasse 4,1230,https://www.wienerlinien.at/wienmobil/stationen,16.28322912,48.13442045,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171643,171643,POINT (16.30993235460784 48.12989938618602),RS90,Radservicestation,Porschestraße / Basler Gasse,1230,https://www.wienerlinien.at/wienmobil/stationen,16.30993235,48.12989932,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171644,171644,POINT (16.288376087862986 48.14709231164318),RS91,Radservicestation,Gatterederstraße 28,1230,https://www.wienerlinien.at/wienmobil/stationen,16.28837608,48.14709225,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171645,171645,POINT (16.262785318204156 48.1335821058506),RS92,Radservicestation,Ketzergasse 435,1230,https://www.wienerlinien.at/wienmobil/stationen,16.26278531,48.13358204,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171646,171646,POINT (16.336565038054506 48.20757399152181),L21,Luftpumpe,Hasnerstraße 6,1160,https://www.radwerkstatt.at/,16.33656503,48.20757393,Pumpe,Aktiv,Radwerkstatt,,
RADSERVICEOGD.171647,171647,POINT (16.35382082755998 48.17295301665072),L22,Luftpumpe,Knöllgasse 50,1100,https://velo.wien,16.35382082,48.17295295,Pumpe,Aktiv,Velo Wien,OF,während der Öffnungszeiten
RADSERVICEOGD.171648,171648,POINT (16.35660775488808 48.19901603638768),L23,Druckluft während der Öffnungszeiten,Stiegengasse 20,1060,https://ciclopia.at/,16.35660775,48.19901597,Pumpe,Aktiv,Ciclopia,OF,während der Öffnungszeiten
RADSERVICEOGD.171649,171649,POINT (16.417858968788924 48.22625506902264),L24,Luftpumpe,Rudolf-Nurejew-Promenade,1220,https://www.wien.gv.at/kontakte/ma45/index.html,16.41785896,48.226255,Pumpe,Aktiv,MA 45 - Wiener Gewässer,,
RADSERVICEOGD.171650,171650,POINT (16.32618985754919 48.21972486697909),RS110,Radservicestation,Hernalser Hauptstraße 104,1170,https://www.wienerlinien.at/wienmobil/stationen,16.32618985,48.2197248,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171651,171651,POINT (16.323020936238006 48.196795486047186),RS119,Radservicestation,Selzergasse 28,1150,https://www.wienerlinien.at/wienmobil/stationen,16.32302093,48.19679542,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171652,171652,POINT (16.311802631044543 48.21188280722082),RS120,Radservicestation,U-Bahn Station Ottakring,1160,https://www.wienerlinien.at/wienmobil/stationen,16.31180263,48.21188274,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171653,171653,POINT (16.334618182678327 48.221394011147524),RS121,Radservicestation,Dornerplatz,1170,https://www.wienerlinien.at/wienmobil/stationen,16.33461818,48.22139395,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171654,171654,POINT (16.341639744352968 48.216984424715505),RS122,Radservicestation,U-Bahn Station Alser Straße,1170,https://www.wienerlinien.at/wienmobil/stationen,16.34163974,48.21698436,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171655,171655,POINT (16.344557778357494 48.244512658279895),RS123,Radservicestation,S-Bahn Station Oberdöbling,1190,https://www.wienerlinien.at/wienmobil/stationen,16.34455777,48.24451259,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171656,171656,POINT (16.370040829768012 48.23511566416042),RS124,Radservicestation,U-Bahn Station Jägerstraße,1200,https://www.wienerlinien.at/wienmobil/stationen,16.37004082,48.2351156,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171657,171657,POINT (16.414035983197213 48.25298056806358),RS125,Radservicestation,Fultonstraße 26,1210,https://www.wienerlinien.at/wienmobil/stationen,16.41403598,48.2529805,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171621,171621,POINT (16.313066678762542 48.19765468867841),RS65,Radservicestation,Hustergasse 9,1140,,16.31306667,48.19765462,Werkzeug,Aktiv,Grätzloase Hustergasse,,
RADSERVICEOGD.171658,171658,POINT (16.450460166463692 48.250312066301284),RS126,Radservicestation,Am langen Felde 35,1220,https://www.wienerlinien.at/wienmobil/stationen,16.45046016,48.250312,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171659,171659,POINT (16.3508017243237 48.222819898262216),W1,Selbsthilfewerkstatt,Währinger Straße 59,1090,https://fahrrad.wuk.at/angebote/selbsthilfewerkstatt/,16.35080172,48.22281983,Werkzeug,Aktiv,WUK,OF,während der Öffnungszeiten
RADSERVICEOGD.171660,171660,POINT (16.353345681740297 48.191951647276014),W2,Selbsthilfewerkstatt,Turmburggasse 1,1060,http://flickerei.at/flickerei-fahrradselbshilfewerkstatt/,16.35334568,48.19195158,Werkzeug,Aktiv,Die Flickerei,OF,während der Öffnungszeiten
RADSERVICEOGD.171661,171661,POINT (16.336361543988502 48.19924726168519),W3,Selbsthilfewerkstatt,Goldschlagstraße 8,1150,http://www.bikekitchen.net/,16.33636154,48.1992472,Werkzeug,Aktiv,Bike Kitchen,OF,während der Öffnungszeiten
RADSERVICEOGD.171662,171662,POINT (16.35478826960201 48.229469743527325),W4,Selbsthilfewerkstatt,Nußdorfer Straße 82,1090,https://www.churchofbikes.com/wordpress/werkstatt/,16.35478826,48.22946968,Werkzeug,Aktiv,Church of Bikes,OF,während der Öffnungszeiten
RADSERVICEOGD.171663,171663,POINT (16.399911775397015 48.22175341789039),W5,Selbsthilfewerkstatt,Ybbsstraße 26,1020,https://lenkerbande.at/absteige-1020/,16.39991177,48.22175335,Werkzeug,Aktiv,Die Absteige,OF,während der Öffnungszeiten
